No.,Qualification or Award,Issuing Organization
1,Certified Public Accountant (USCPA),"American Institute of Certified Public Accountants (AICPA); National Association of State Boards of Accountancy (NASBA)"
2,Foreign Lawyer Qualification,"Brazil, China, Hong Kong, France, Germany, Ireland, Italy, South Korea, Netherlands, Nepal, New Zealand, Paraguay, Singapore, Spain, Switzerland, United Kingdom, India, Saudi Arabia, Philippines, Russia, Taiwan, Belgium, Sri Lanka, Austria, Australia, Canada, United States"
3,Actuary Qualification,"Society of Actuaries (Fellow); Institute of Actuaries (Fellow)"
4,iF Design Award (Gold Award),"iF International Forum Design GmbH"
5,International Design Excellence Award (Gold Award),"The Industrial Designers Society of America"
6,Red Dot Design Award (Best of the Best),"Design Zentrum Nordrhein Westfalen"
7,Good Design Award (Grand or Gold Award),"Japan Institute of Design Promotion"
8,Design for Asia Award (Grand Award),"Hong Kong Design Centre"
9,ADC Annual Award (Gold Award),"Art Directors Club"
10,D&AD Award (Gold Award),"D&AD"
11,Cannes Lions International Festival of Creativity (Design Grand Prix or Gold Award),"Lions Festivals"
12,LVMH Prize for Young Fashion Designers (Winner),"LVMH"
13,International Woolmark Prize (Menswear/Womenswear Winner),"The Woolmark Company"
14,Fashion Award (Designer of the Year),"British Fashion Council"
